Titre;Ville;Date début;Date de fin
Petites et grandes histoires du faubourg Montmélian;Chambéry;2016-09-18;2016-09-18
Chantier de restauration de la Leysse;Chambéry;2016-10-08;2016-10-09
Les Repriseurs;Saint-Jean-de-Maurienne;2016-06-21;2016-06-21
La source de Saint-Saturnin;Saint-Alban-Leysse;2016-09-18;2016-09-18
L'Usine de valorisation énergétique et de traitement des déchets (UVETD);Chambéry;2016-09-17;2016-09-17
Visite d'une centrale hydroelectrique ALPES HYDRO;Fourneaux;2017-09-16;2017-09-16
Jean-Paul Faure Architecte;CHAMBERY;2017-10-14;2017-10-15
Coquelicot et le pays des Humbles;Lescheraines;2017-11-22;2017-11-22
Visite libre du Repaire Louis Mandrin;Saint-Genix-sur-Guiers;2015-09-19;2015-09-20
Circuit pédestre 'Les Monts d'Argent';Peisey-Nancroix;2015-09-19;2015-09-19
BOEUF;Lescheraines;2014-11-27;2014-11-27
Visite guidée du fort de vulmix;Bourg-Saint-Maurice;2015-09-19;2015-09-20
Le fort du Télégraphe : un balcon sur la Maurienne.;Valloire;2015-09-19;2015-09-19
Visite de la chapelle St Roch;Lanslevillard;2015-09-20;2015-09-20
Visite découverte du fort;Montmélian;2015-09-19;2015-09-20
Visite libre de l'église St-Martin de Chamoux;Chamoux-sur-Gelon;2015-09-19;2015-09-20
Visite de l'exposition temporaire de la Tour Sarrazine;Bozel;2015-09-19;2015-09-20
Copinage : La Tournée des Bauges - Charlie and the Soap Opera;Aillon-le-Jeune;2015-07-04;2015-07-04
Invitation par le BaM// dans une forêt... pas comme les autres;Chambéry;2015-05-16;2015-05-16
;Bourg-Saint-Maurice;2014-12-29;2014-12-29
L'INDSUTRIE AU COLLEGE;Barby;2016-03-01;2016-03-01
Concert Autour de la danse;Aix-les-Bains;2014-05-17;2014-05-17
Visite libre de l'Espace Alu et de l'exposition temporaire 'ALU-cinantes cartes postales !';Saint-Michel-de-Maurienne;2014-05-17;2014-05-17
Visite du fort Victor-Emmanuel à la lanterne;Aussois;2015-09-19;2015-09-19
Visite libre;Mâcot-la-Plagne;2015-09-19;2015-09-20
Visite libre de l'église;La Côte-d'Aime;2015-09-19;2015-09-20
Visite libre de la Salle des Délibérations;Chambéry;2015-09-19;2015-09-20
Visite guidée;Cléry;2015-09-19;2015-09-20
Balade Découverte du vignoble de Montmélian;Montmélian;2015-09-20;2015-09-20
Reconstitution d'un habitat de la fin du Néolithique (3 600 ans av. J.C.);Bramans;2016-09-17;2016-09-17
La rotonde ferroviaire de Chambéry : visite libre;Chambéry;2017-09-16;2017-09-17
Test;Bellecombe-en-Bauges;2017-12-11;2017-12-17
Découvrez l'industrie et ses métiers près de chez vous ! Edition 2018;Saint-Jean-de-Maurienne;2018-03-29;2018-03-29
La Grande semaine de la Petite Enfance;CHAMBERY;2018-03-12;2018-03-18
Visite libre et rencontre au musée d'arts et traditions populaires du Val d'Arly.;Ugine;2018-09-15;2018-09-15
'In and out' Déambulation dansée par la compagnie Choryphée;Chambéry;2018-05-19;2018-05-19
Exposition 'Les déracinés' devant le museobar.;Modane;2018-09-15;2018-09-16
Exposition temporaire ' Le siècle de papier '.;Modane;2018-09-15;2018-09-16
Visite commentée de l'Unité de Valorisation Energétique et de Traitement des Déchets (UVETD).;Chambéry;2018-09-15;2018-09-15
'La Petite Boîte qui Monte';Gilly-sur-Isère;2018-10-08;2018-10-11
Explorations fonctionnelles neurologiques;Chambéry;2018-10-13;2018-10-13
Vaccinations : entre mythes et réalités;Chambéry;2018-10-11;2018-10-11
Ces années-là : 50-60;Grignon;2019-01-19;2019-01-19
Atelier maquillage;Saint-Michel-de-Maurienne;2019-01-19;2019-01-19
Exposition 'Des guerres dans la Grande Guerre'.;Chambéry;2018-09-14;2018-09-16
Visite commentée 'Le premier faubourg Montmélian';Chambéry;2015-09-19;2015-09-19
Les Petits Pions;Lescheraines;2015-11-28;2015-11-28
Steve Lô Cie La Méduse;Lescheraines;2015-11-26;2015-11-26
Concert Ensemble Alkymia;Chambéry;2015-09-20;2015-09-20
Exposition Eteinne Krahenbuhl;Chambéry;2015-09-19;2015-09-20
Conférence de Mr Michel Boulet professeur honoraire de l'Enseignement supérieur agronomique a réalisé des recherches sur les systèmes de for;Montsapey;2015-09-19;2015-09-20
Visite libre Aquacalida - Exposition 'Usages des eaux de La Léchère';La Léchère;2015-09-19;2015-09-19
Visite commentée des Salons d'Honneur;Chambéry;2015-09-19;2015-09-20
Visite libre de la Sainte-Chapelle;Chambéry;2015-09-19;2015-09-20
Conférence 'Redécouvrir le massif des Bauges';Saint-Jean-d'Arvey;2015-09-18;2015-09-18
Eglise Saint Sigismond;Champagny-en-Vanoise;2015-09-19;2015-09-20
Orange Bud / Le 421 / Aix Les Bains (73);Aix-les-Bains;2013-08-17;2013-08-17
Visite guidée de la galerie Saint Louis;Saint-Georges-des-Hurtières;2014-05-17;2014-05-17
Visite libre d'une maison traditionnelle aussoyenne au rythme de la musique;Aussois;2016-05-21;2016-05-21
Visite libre de la terrasse de la tour mi-ronde;Chambéry;2015-09-19;2015-09-20
Visite guidée de l'église Saint Maurice;Chamousset;2015-09-19;2015-09-20
Portes ouvertes du nouvel hôpital;Chambéry;2015-09-19;2015-09-20
Histoire de danser;Chambéry;2014-05-17;2014-05-17
Lancement du parcours thématique 'le goût est naturel';Chambéry;2014-05-17;2014-05-17
BELASCAINS: CHAMBERY / VAUCLUSE XV;Chambéry;2016-12-11;2016-12-11
Jean-Luc Mélenchon devant les Chambériens;Chambéry;2016-11-15;2016-11-15
Le phénomene du coeur;Albertville;2017-01-21;2017-01-24
Idées reçues et esprit critique;Chambéry;2017-10-07;2017-10-14
Chocolat en général;Tours-en-Savoie;2017-10-11;2017-10-14
Le réseau de chaleur renouvelable d’Ugine et sa chaufferie biomasse;Ugine;2017-10-11;2017-10-14
Les monstres du sol;Chambéry;2017-10-07;2017-10-08
Les idées reçues des Logiciels Libres;Chambéry;2017-10-07;2017-10-08
Full;Aix-les-Bains;2017-06-21;2017-06-21
Paris by Night;Chambéry;2017-06-21;2017-06-21
Le mobilier contemporain de la Sainte-Chapelle;Chambéry;2017-09-16;2017-09-17
Les trésors cachés d'Epierre;Epierre;2017-09-16;2017-09-16
Eglise baroque Saint Nicolas;Mâcot-la-Plagne;2017-09-16;2017-09-17
Visite de l'église baroque paroissiale Saint Sigismond;Mâcot-la-Plagne;2017-09-16;2017-09-17
Sortie Patrimoine et terroir;Aillon-le-Jeune;2017-09-16;2017-09-17
La chapelle saint Joseph du hameau de Etre;Jarsy;2017-09-17;2017-09-17
COMMENT L'INDUSTRIE FABRIQUE LE MONDE D'AUJOURD'HUI;Barby;2017-03-23;2017-03-23
formation des élus « comment rendre la densité acceptable » – module 4;Chambéry;2017-05-29;2017-05-30
L'INDUSTRIE ON EN PARLE !;La Motte-Servolex;2017-03-20;2017-03-20
• Formation •  ENSOLEILLER L'ARCHITECTURE  • 12 et 13 octobre 2017;Le Bourget-du-Lac;2017-10-12;2017-10-13
Atelier 'Nuits en couleurs' (6-12 ans);Chambéry;2017-09-17;2017-09-17
Hôtel de ville - visite guidée;Chambéry;2017-09-16;2017-09-16
Exposition des fouilles du Boisson;Châteauneuf;2017-09-17;2017-09-17
Navette Journée du patrimoine;Chambéry;2017-09-16;2017-09-16
Eglise baroque Saint-Pierre;Séez;2017-09-16;2017-09-17
Rock Parenthèse;Saint-Jean-de-Maurienne;2016-06-21;2016-06-21
Le premier faubourg Montmélian;Chambéry;2016-09-17;2016-09-17
Visite guidée;Cognin;2016-05-21;2016-05-21
Exposition artistique 'Impressions de nature';Aillon-le-Jeune;2016-09-17;2016-09-18
Les monuments religieux et citoyens de la ville;Saint-Jean-de-Maurienne;2016-09-17;2016-09-18
Fours communaux;Francin;2016-09-17;2016-09-18
Le patrimoine géologique de la Réserve Naturelle des Hauts de Chartreuse.;Entremont-le-Vieux;2016-10-09;2016-10-09
L'arche d'oé fête ses 10 ans;Aussois;2016-09-17;2016-09-18
Visite de l'église et de la chapelle de la Visitation;Termignon;2016-09-17;2016-09-18
Eglise de TOURNON en Savoie (73460);Tournon;2016-07-02;2016-07-02
Visite libre ou commentée : Vitraux de l'église de Saint Philibert;Saint-Pierre-d'Entremont;2016-09-18;2016-09-18
Visite de l'Abbaye d'Hautecombe;Saint-Pierre-de-Curtille;2016-09-17;2016-09-18
Projection : Vidéos et conte autour de l'art du potier;Cognin;2016-09-17;2016-09-18
Circuit de visite;Beaufort;2016-09-17;2016-09-17
Parcours de l’avant-pays savoyard;Le Pont-de-Beauvoisin;2016-06-04;2016-06-04
Visite de la chapelle de Montgesin;Aime;2017-09-16;2017-09-17
Soirée lecture et rencontre au musée;Aussois;2018-01-20;2018-01-20
France Loisirs fête la Nuit de la Lecture;Chambéry;2018-01-20;2018-01-20
La Grande semaine de la Petite Enfance;VALCENIS;2018-03-12;2018-03-18
La Grande semaine de la Petite Enfance;CHAMBERY;2018-03-12;2018-03-18
Découverte des sites palafittes du nord du lac du Bourget;Chindrieux;2018-09-15;2018-09-15
Visite libre.;Aime;2018-09-15;2018-09-16
Fête de l'Attelage, à Flumet (73);Flumet;2018-08-19;2018-08-19
Atelier décoration de voiles et régates.;Cognin;2018-09-15;2018-09-16
BATTL'EAU, bureau d'aménagement du territoire ludique sur l'eau - ouvert à tous;Chambéry;2018-10-20;2018-10-20
Cabinet de curiosité au Parc du Verney;Chambéry;2018-09-15;2018-09-16
Le Bernascon, ancien palace 1900;Aix-les-Bains;2018-09-15;2018-09-16
La Planeterrella, un simulateur d’aurores polaires;Chambéry;2018-10-06;2018-10-07
Comment la psychologie tord-elle le cou aux idées reçues ?;Chambéry;2018-10-06;2018-10-07
Pour que le courant passe;Chambéry;2018-10-06;2018-10-12
D’autres Regards;Chambéry;2018-10-06;2018-10-07
Spectacle participatif;Saint-Michel-de-Maurienne;2019-01-19;2019-01-19
Visite commentée de l'intérieur de l'abbaye d'Hautecombe.;Saint-Pierre-de-Curtille;2018-09-15;2018-09-16
Le Sport ensemble;Chambéry;2018-09-21;2018-09-21
Le Petit Monde de l’astronomie amateur;Chambéry;2018-10-06;2018-10-07
Un p’tit billard ?;Chambéry;2018-10-06;2018-10-07
Parcours nature;Chambéry;2018-10-06;2018-10-07
Rencontres Hivernales 2019;Val-d'Isère;2019-01-25;2019-01-26
Portes ouvertes aux ateliers peinture et dentelles aux fuseaux.;Argentine;2018-09-15;2018-09-16
Visite commentée de la Sainte-Chapelle.;Chambéry;2018-09-15;2018-09-16
Montmélian - Circuit commenté 'Montmélian et l'Isère'.;Montmélian;2018-09-16;2018-09-16
Visite commentée : présentation des travaux de restauration de la chapelle Saint-Joseph.;Albertville;2018-09-16;2018-09-16
Visite d'une centrale hydroelectrique ALPES HYDRO;Sainte-Hélène-sur-Isère;2017-09-16;2017-09-16
Visite commentée 'Lecture de paysage depuis la terrasse de la tour mi-ronde'.;Chambéry;2018-09-16;2018-09-16
Bal populaire avec DJ;Aix-les-Bains;2017-06-21;2017-06-21
Musée de la Taillanderie;Marthod;2017-09-16;2017-09-17
Visite de la chapelle Saint Blaise;Mâcot-la-Plagne;2017-09-16;2017-09-17
Bulles chorégraphiques - Cie Contrepoint (danse);Hautecour;2017-09-16;2017-09-16
Explorateurs : mission chercheurs d'eau;Chambéry;2017-09-16;2017-09-17
Visite guidée : le fort de Vulmix;Bourg-Saint-Maurice;2017-09-16;2017-09-17
Hommes préhistoriques et environnement;Chambéry;2016-10-09;2016-10-09
A LA DECOUVERTE DE L'IMPRESSION SANS LIMITES;Saint-Jean-de-Maurienne;2016-10-08;2016-10-15
Terrasse de la tour mi-ronde;Chambéry;2016-09-17;2016-09-18
Chapelle Notre Dame des Neiges d 'AVRIEUX (73500);Avrieux;2016-07-02;2016-07-02
En route vers le second millénaire ...;Moûtiers;2016-09-17;2016-09-18
Agrandir le monde. Cartes géographiques et livres de voyages (XVe-XVIIIe siècle);Chambéry;2016-10-08;2016-10-09
Astralala;Chambéry;2016-10-11;2016-10-14
Balade : La vie rurale d'antan;Saint-Alban-d'Hurtières;2016-09-17;2016-09-17
FRANCIN, Citoyenneté et Patrimoine;Les Marches;2016-09-17;2016-09-18
Visite guidée du Musée d' histoire et d'archéologie de Moûtiers;Moutiers;2016-09-17;2016-09-18
Visite clownesque !;École;2016-09-18;2016-09-18
Sainte-Chapelle;Chambéry;2016-09-17;2016-09-18
Visite libre du château de Carron;Francin;2016-09-17;2016-09-18
Découverte d'une chapelle de 1665;Jarsy;2017-09-17;2017-09-17
Découverte du centre historique de Chambéry à vélo;Chambéry;2017-09-16;2017-09-16
Chapelle Saint-Eustache;Aime;2016-09-17;2016-09-18
Timb'Alu;Saint-Jean-de-Maurienne;2016-06-21;2016-06-21
Timb'Alu;Saint-Jean-de-Maurienne;2016-06-21;2016-06-21
Visite de la cathédrale sur le thème de l'éducation;Moûtiers;2017-09-16;2017-09-17
La Réforme, un coup de jeune . . . vieux de 500 ans !;Aix-les-Bains;2017-09-16;2017-09-17
Atelier poterie;Chanaz;2017-09-16;2017-09-16
Exposition 'Indistinction I et II';Chambéry;2017-09-16;2017-09-17
Visite libre;Francin;2017-09-16;2017-09-17
MOULIN A HUILES DE NOIX ET DE NOISETTES;Chanaz;2017-09-16;2017-09-17
Visite naturaliste « Sus aux animaux amis des sorcières »;Saint-Christophe;2017-10-15;2017-10-15
Parcours nature;Chambéry;2017-10-07;2017-10-08
INFORMATION COLLECTIVE SUR LE THEME DE L'INDUSTRIE;Chambéry;2017-03-21;2017-03-21
Bilbo amp the Jam Project;Chambéry;2017-06-21;2017-06-21
Les Energu'men;Chambéry;2017-06-21;2017-06-21
La source de Saint-Saturnin;Saint-Alban-Leysse;2017-09-17;2017-09-17
Assemblée Générale Extraordinaire;Chambéry;2017-09-28;2017-09-28
Eglise de Villard d'Héry sur la 'route des églises en Combe de Savoie';Villard-d'Héry;2017-09-17;2017-09-17
Before Winter;Chambéry;2015-11-26;2015-11-26
Chambéry dans la seconde guerre mondiale;Chambéry;2015-09-19;2015-09-19
Venez découvrir ou redécouvrir le Musée du Félicien;Argentine;2015-05-16;2015-05-16
Réveillez vos sens;Albertville;2014-05-17;2014-05-17
Exposition d'Arnaud Contreras à Albertville ( Savoie );Albertville;2011-10-21;2011-10-23
Aix les Bains en fête;Aix-les-Bains;2015-06-21;2015-06-21
Visite des expositions 'Traces olympiques' et 'Imagine ta montagne';Albertville;2015-05-16;2015-05-16
Conférence de Jean Malaurie, 'Au sommet du monde : les Inuit';Albertville;2011-10-22;2011-10-22
Visite 'Plongez au coeur de la préhistoire à la découverte de l'ours des cavernes !';Entremont-le-Vieux;2015-09-19;2015-09-20
Un avion Made in Maurienne : la preuve en visites d'entreprise;;2016-03-15;2016-03-15
Visite du Musée du Félicien;Argentine;2015-09-19;2015-09-20
Visite découverte baroque;Avrieux;2015-09-19;2015-09-20
Circuits découverte historique et circuits botaniques à la découverte des arbres et des plantes;Le Bourget-du-Lac;2015-06-06;2015-06-07
Visite commentée du cloître du Musée Savoisien;Chambéry;2015-09-20;2015-09-20
Visite libre 'Imagine ta montagne';Albertville;2015-09-19;2015-09-20
Concert du Carillon;Chambéry;2015-09-19;2015-09-20
'La classe, l'œuvre !';Chambéry;2016-05-21;2016-05-21
Atelier de rempotage;Le Bourget-du-Lac;2015-06-06;2015-06-07
CAUE SAVOIE;aix les bains;2017-10-14;2017-10-15
Dedans-Dehors;CHAMBERY;2017-10-14;2017-10-15
La Grande semaine de la Petite Enfance;ORELLE;2018-03-12;2018-03-18
La Grande semaine de la Petite Enfance;CHAMBERY;2018-03-12;2018-03-18
Visite libre de l'église orthodoxe Saint-Nicolas - Saint-Alexis d'Ugine.;Ugine;2018-09-16;2018-09-16
Les 150 ans du moulin à huile de Chanaz.;Chanaz;2018-09-15;2018-09-16
Visite libre.;Aime;2018-09-15;2018-09-16
JJ séjour ski;Fontcouverte-la Toussuire;2019-02-02;2019-02-09
Apéritif sur les terrasses de l'abbaye d'Hautecombe.;Saint-Pierre-de-Curtille;2018-09-15;2018-09-15
Visite commentée des jardins et du potager du château des Allues;Saint-Pierre-d'Albigny;2019-06-07;2019-06-09
Exposition d'Orisio Sand, inspirée par les animaux du château;Saint-Pierre-d'Albigny;2019-06-07;2019-06-09
Exposition 'Leysse nous voir';Chambéry;2017-09-15;2017-09-17
Visite de la chapelle Saint-Antoine;Mâcot-la-Plagne;2017-09-16;2017-09-17
Resonance;Chambéry;2017-06-21;2017-06-21
Tour Trésorerie;Chambéry;2017-09-16;2017-09-17
Bulles chorégraphiques - Cie Contrepoint (danse);Moutiers;2017-09-17;2017-09-17
Visite d'une centrale hydroelectrique ALPES HYDRO;Argentine;2017-09-16;2017-09-16
Visite de la centrale hydroélectrique des 'guerres' de Montsapey;Montsapey;2017-09-17;2017-09-17
Sainte-Chapelle;Chambéry;2017-09-16;2017-09-17
Marie sort de sa réserve !;Chambéry;2017-09-16;2017-09-17
Avoriaz, Les Arcs, stations de sports d'hiver : 2 aventures architecturales du XXe siècle, novatrices et humaines;Albertville;2017-09-16;2017-09-17
Eglise Saint-Alban;Saint-Alban-d'Hurtières;2017-09-16;2017-09-17
Groupes de Décibel;La Motte-Servolex;2017-06-21;2017-06-21
Orchestres;La Motte-Servolex;2017-06-21;2017-06-21
Visite guidée de l'église;Bassens;2017-09-17;2017-09-17
Maison du Patrimoine à Villarnard;La Perrière;2017-09-16;2017-09-17
Découverte du nouvel espace de visite de l'Espace Alu 'Moments de vie' !;Saint-Michel-de-Maurienne;2017-05-20;2017-05-20
A la découverte de l'art Baroque en Haute Maurienne Vanoise;Sollières-Sardières;2017-09-17;2017-09-17
A la découverte de l'art Baroque en Haute Maurienne Vanoise;Lanslebourg-Mont-Cenis;2017-09-17;2017-09-17
Eglise Notre Dame de l'Assomption d'Aussois - Diocèse de Chambéry - 73;Aussois;2017-07-01;2017-07-01
Présentation des différentes variétés d'orchidée du site;Aillon-le-Jeune;2015-06-06;2015-06-07
Declic Pholiotte;Lescheraines;2015-10-17;2015-12-01
Visite commentée: 'Des mains en or';Bourg-Saint-Maurice;2015-09-20;2015-09-20
Découvertes entre architectures religieuse, rurale et contemporaine...;Saint-Martin-de-Belleville;2015-09-19;2015-09-19
Le patrimoine saint-jeannais du VIIIème au XXIème siècle;Saint-Jean-de-Maurienne;2015-09-19;2015-09-20
Visite historique de la Ferme de Bressieux;Bassens;2015-09-19;2015-09-20
STAGE SEJOUR ATELIER AU JARDIN 'POTAGE' 3j en semaine;Saint-Pierre-d'Albigny;2016-05-17;2016-05-20
Sculpture au couteau et vannerie (apporter votre opinel) ;Saint-Pierre-d'Entremont;2015-09-19;2015-09-20
Il était une fois… les amphibiens et reptiles;Chambéry;2014-05-17;2014-05-17
Randonnée Solidaire pour le Népal en Combe de Savoie;Cruet;2015-05-23;2015-05-23
Exposition de photographies: 'C'était Aix-les-Bains en 2015';Aix-les-Bains;2015-09-19;2015-09-20
Visite commentée de la Sainte-Chapelle;Chambéry;2015-09-19;2015-09-20
Exposition 'Le Réseau des musées dans le 21e siècle !';Chambéry;2015-09-19;2015-09-20
Visite du verger des Charmettes avec 'Les Croqueurs de pommes';Chambéry;2015-09-19;2015-09-19
Visite commentée 'Rue de Boigne';Chambéry;2015-09-20;2015-09-20
Visite libre du musée régional de la Vigne et du Vin;Montmélian;2015-09-19;2015-09-20
Visite de l'Eglise St Barthélemy Montsapey;Montsapey;2015-09-20;2015-09-20
Visite commentée de la Chapelle de Villaroland;Aime;2015-09-19;2015-09-20
Visite commentée du Petit Port et de ses réalisations architecturales majeures;Aix-les-Bains;2015-09-19;2015-09-20
Visite du théâtre et de ses coulisses;Albertville;2016-09-17;2016-09-17
Musée historique : Hôtel Nicolle de La Place;Montmélian;2016-09-17;2016-09-18
Conférence par Eugène Blanc;Montmélian;2016-09-18;2016-09-18
Visite non-guidée de l'Espace Alu;Saint-Michel-de-Maurienne;2016-10-16;2016-10-16
Eglise de la Nativité de la Vierge;Notre-Dame-du-Pré;2016-09-17;2016-09-18
Maché: histoire d'un quartier disparu;Chambéry;2016-09-17;2016-09-18
Visite libre de l'espace Saint-Eloi;Séez;2016-09-17;2016-09-18
Chasse nocturne de papillons;Chambéry;2016-05-21;2016-05-21
Parcours de la Combe de Savoie;Montmélian;2016-06-04;2016-06-04
Un après midi sur le jardin vagabond;Aix-les-Bains;2017-06-03;2017-06-03
Aix-les-Bains;Aix-les-Bains;2017-03-04;2017-03-04
Invitation au voyage;Aix-les-Bains;2017-06-03;2017-06-03
Quels changements dans l'entreprise pour une innovation durable ?;Le Bourget-du-Lac;2017-03-21;2017-03-21
visite du palais de Justice;Chambéry;2016-09-17;2016-09-17
L’opération spéciale de baisse du niveau du lac du Bourget;Chambéry;2017-10-11;2017-10-11
Fêtes du bois et du bûcheronnage;Hauteluce;2016-08-06;2016-08-07
A la découverte du monde des aciers inoxydables.;Ugine;2016-10-10;2016-10-14
La chirurgie ambulatoire;Chambéry;2016-10-08;2016-10-08
Consommez autrement, découvrez les saveurs d'ici;Chambéry;2016-10-08;2016-10-09
Au musée citoyens!;Chambéry;2016-09-17;2016-09-18
Le Château, la Savoie, dix siècles d'histoire;Chambéry;2016-09-17;2016-09-18
PARTI PIRATE SAVOIE;Aix-les-Bains;2016-12-21;2017-07-05
Observation du patrimoine naturel depuis l'Observatoire des Aigrettes;Le Bourget-du-Lac;2016-09-18;2016-09-18
Visite commentée du quartier Sierroz et Franklin-Roosevelt par le service Rénovation urbaine;Aix-les-Bains;2016-09-18;2016-09-18
Agrandir le monde. Cartes géographiques et livres de voyage (XVe-XVIIIe siècle);Chambéry;2016-09-16;2016-09-16
Espace Glacialis;Champagny-en-Vanoise;2016-09-17;2016-09-18
Visite guidée historique;Aillon-le-Jeune;2016-09-17;2016-09-18
Eglise Saint-François-de-Sales;Bozel;2016-09-16;2016-09-18
Surprise musicale dans les chapelles;Peisey-Nancroix;2016-09-18;2016-09-18
La migration des oiseaux en Savoie;Chambéry;2016-10-08;2016-10-08
Le chateau des Allues ouvre ses portes à l'occasion de ces journées européennes du patrimoine;Saint-Pierre-d'Albigny;2017-09-15;2017-09-17
Projection du documentaire 'La présence britannique à Aix-les-Bains'.;Aix-les-Bains;2018-09-16;2018-09-16
Visite commentée du centre de tri des déchets ménagers recyclables de Chambéry.;Chambéry;2018-09-14;2018-09-14
Exposition sur les Échelles et de ses environs.;Les Échelles;2018-09-15;2018-09-16
Spectacle conté « Des histoires plein l’assiette ».;Aillon-le-Jeune;2018-09-16;2018-09-16
Découverte des Hauts de Chambéry;Chambéry;2018-09-15;2018-09-15
Visites guidées des palaces Splendide et Royal.;Aix-les-Bains;2018-09-15;2018-09-16
Visite commentée du musée de l'ours des cavernes.;Entremont-le-Vieux;2018-09-15;2018-09-16
# Veillée savoyarde;Albertville;2018-05-19;2018-05-19
La Grande semaine de la Petite Enfance;VALCENIS;2018-03-12;2018-03-18
Dictée textée;Chambéry;2018-03-23;2018-03-23
Circuit guidé au fil de l'Arly, une balade artistique et hydroélectrique.;Ugine;2018-09-15;2018-09-15
Découverte d'un PC routier;Albertville;2018-10-09;2018-10-11
Surprise d'une matière recyclée;Marthod;2018-10-06;2018-10-14
De la Terre à Mars en réalité virtuelle;Chambéry;2018-10-06;2018-10-07
Planétarium : la tête dans les étoiles;Chambéry;2018-10-06;2018-10-07
Le dessous des cartes de l'industrie nucléaire, de la puissance à la crise;Chambéry;2018-10-06;2018-10-06
FABIENNE QUENARD, ARC EN LUNE, INVITEE SURPRISE AU JOURNEES DU PATRIMOINE 2018;Saint-Pierre-d’Albigny;2018-09-15;2018-09-16
Surprises musicales au Versant du soleil.;Valezan;2018-09-15;2018-09-15
Val Cenis Termignon - Eglise Notre Dame de l'Assomption et chapelle de la Visitation.;Lanslebourg-Mont-Cenis;2018-09-15;2018-09-16
Visite guidée de la maison de Boigne;Chanaz;2018-09-15;2018-09-15
Découverte historique théâtralisée à Vions;Vions;2018-09-15;2018-09-16
GALLETTI dans les origines de la TSF;Chambéry;2018-10-06;2018-10-07
Atelier morse;Chambéry;2018-10-06;2018-10-07
L'ordinateur qui viendra du froid;Chambéry;2018-10-06;2018-10-06
Orange Bud / Université / Chambéry (73);Chambéry;2013-10-08;2013-10-08
STAGE SEJOUR ATELIER AU JARDIN 'POTAGE' 2j en weekend;Saint-Pierre-d'Albigny;2016-05-20;2016-05-22
Après-midi autour de l'eau;Aix-les-Bains;2016-06-04;2016-06-04
Circuit 'Suivez les chemins de traverse....';Ecole;2015-09-20;2015-09-20
Visite du Musée d'Arts et Traditions Populaires;Ugine;2015-09-20;2015-09-20
Exposition Artistique 'Itinéraires';Aillon-le-Jeune;2015-09-19;2015-09-20
Visite commentée de l'exposition 'Ugine,c'est inox et rock'n roll';Chambéry;2015-09-19;2015-09-19
Animation jeune public 'la maison en petits cubes';Chambéry;2015-09-20;2015-09-20
Visite libre des jardins, de l'église et du prieuré;Le Bourget-du-Lac;2015-09-19;2015-09-20
Spectacle: 'C'était un petit jardin', par la Compagnie Trompe-Jacqueline;Aix-les-Bains;2015-09-19;2015-09-19
La collection Faure;Aix-les-Bains;2015-05-16;2015-05-16
Démonstrations de savoir-faire artisanaux;Ugine;2014-05-17;2014-05-17
Spectacle 'Si la Chartreuse m'était dansée';Aillon-le-Jeune;2015-09-20;2015-09-20
Exposition permanente sur la naissance de la ville frontière;Modane;2015-05-16;2015-05-16
STAGE SEJOUR ATELIER AU JARDIN 'POTAGE' 3j en semaine;Saint-Pierre-d'Albigny;2016-04-12;2016-04-15
Visite d'une centrale hydroelectrique ALPES HYDRO;Argentine;2017-09-16;2017-09-16
Découverte de la navigation en pirogues monoxyles;Novalaise;2017-09-17;2017-09-17
Visite de la coopérative laitière de Haute Maurienne Vanoise;Lanslebourg-Mont-Cenis;2017-09-16;2017-09-16
Le boulevard de la colonne : visite guidée;Chambéry;2017-09-16;2017-09-16
Théâtre Charles Dullin - visite;Chambéry;2017-09-17;2017-09-17
Exposition photographique;Montmélian;2017-09-16;2017-09-17
Eglise Saint-Laurent;La Côte-d'Aime;2017-09-16;2017-09-17
formation des élus « comment rendre la densité acceptable » – module 3;Chambéry;2017-04-03;2017-04-04
Les Anonymes + scène ouverte;Lescheraines;2016-11-24;2016-11-24
Mercure Brides Les Bains Grand Hôtel des Thermes**** (Brides-les-Bains);Brides-les-Bains;2016-09-17;2016-09-18
Eglise saint Jean-Baptiste à Arêches (73270);Beaufort;2016-07-02;2016-07-02
La plateforme de compostage de Champlat;Chambéry;2017-09-16;2017-09-16
« Architecture contemporaine et patrimoine»;Saint-Pierre-de-Genebroz;2017-06-01;2017-06-01
Découverte Plantes Sauvages Comestibles;Verthemex;2017-03-17;2017-03-17
Visite guidée du Musée régional de la Vigne et du Vin;Montmélian;2017-09-17;2017-09-17
VISITE DU MUSEUM DE CHAMBERY;Chambéry;2017-05-20;2017-05-20
Je t'écris d'ailleurs;Chambéry;2016-09-18;2016-09-18
Visite guidée théâtralisée 'L'histoire étonnante de Saint Genix sur Guiers, ses personnages et leurs secrets';Saint-Genix-sur-Guiers;2016-09-17;2016-09-17
Visite à deux voix;Chambéry;2016-09-17;2016-09-18
Fabrication du reblochon;Chambéry;2016-10-11;2016-10-16
Astralala;Chambéry;2016-10-08;2016-10-09
Exposition 'Alphonse de Lamartine : période aixoise';Aix-les-Bains;2016-09-16;2016-09-18
Plongez au coeur de la Préhistoire, sur la piste de l'ours des cavernes;Entremont-le-Vieux;2016-09-17;2016-09-18
Projection d'un documentaire sur les Britanniques à Aix-les-Bains;Aix-les-Bains;2016-09-17;2016-09-18
Visite muséum;Chambéry;2016-10-04;2016-10-09
Auguste Rodin;Aix-les-Bains;2016-05-21;2016-05-21
